0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:27:58 +0900] "GET /final_mvc/boardRead.bo?qna_num=8 HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:27:58 +0900] "GET /final_mvc/boardRead.bo?qna_num=8 HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:55 +0900] "GET /final_mvc/boardRead.bo?qna_num=8 HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:55 +0900] "GET /final_mvc/resources/css/comment.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:55 +0900] "GET /final_mvc/boardRead.bo?qna_num=8 HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:56 +0900] "GET /final_mvc/boardRead.bo?qna_num=8 HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:56 +0900] "GET /final_mvc/boardRead.bo?qna_num=8 HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:56 +0900] "GET /final_mvc/boardRead.bo?qna_num=8 HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:58 +0900] "GET /final_mvc/boardDetail.bo?qna_num=7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:28:58 +0900] "GET /final_mvc/boardRead.bo?qna_num=7 HTTP/1.1" 200 20504
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:32:28 +0900] "GET /final_mvc/boardRead.bo?qna_num=7 HTTP/1.1" 200 20510
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:32:28 +0900] "GET /final_mvc/resources/css/comment.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:35:13 +0900] "GET /final_mvc/jQuery.test HTTP/1.1" 200 4254
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:35:13 +0900] "GET /final_mvc/javascript.test HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:35:14 +0900] "GET /final_mvc/jQuery.test HTTP/1.1" 200 4254
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:35:17 +0900] "GET /final_mvc/javascript.test HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:47:23 +0900] "GET /final_mvc/boardList.bo HTTP/1.1" 200 3114
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:47:27 +0900] "GET /final_mvc/test HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:11:25 +0900] "GET /final_mvc/boardList.bo HTTP/1.1" 200 3114
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:11:27 +0900] "GET /final_mvc/boardDetail.bo?qna_num=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:11:27 +0900] "GET /final_mvc/boardRead.bo?qna_num=8 HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:11:27 +0900] "GET /final_mvc/resources/css/comment.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:11:29 +0900] "GET /final_mvc/login.mc HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:11:34 +0900] "POST /final_mvc/loginSubmit.mc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:11:34 +0900] "GET /final_mvc/test HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:11:37 +0900] "GET /final_mvc/boardList.bo HTTP/1.1" 200 3226
